,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8,Rank 9,Rank 10,Rank 11,Did Not Rank
"Fantini, Alfred B.",2372.00,3342.00,4119.00,4782.00,5281.00,5718.00,5937.00,6074.00,6177.00,6266.00,6350.00,9554.00
"Forster, Bill",330.00,753.00,1176.00,1539.00,1818.00,2084.00,2310.00,2512.00,2684.00,2818.00,2905.00,12999.00
"Gerber, Joyce C.",434.00,1017.00,1594.00,2075.00,2492.00,2793.00,2993.00,3197.00,3358.00,3499.00,3566.00,12338.00
"Harding, Jr., Richard",1851.00,3181.00,4261.00,5063.00,5695.00,6175.00,6351.00,6455.00,6532.00,6601.00,6648.00,9256.00
"Holland, John J.",388.00,845.00,1299.00,1664.00,2020.00,2240.00,2426.00,2574.00,2757.00,2890.00,3004.00,12900.00
"McGovern, Marc C.",1771.00,3529.00,4988.00,6032.00,6703.00,7108.00,7268.00,7364.00,7443.00,7496.00,7540.00,8364.00
"Nolan, Patricia M.",2126.00,3847.00,5294.00,6296.00,6874.00,7214.00,7358.00,7450.00,7520.00,7581.00,7622.00,8282.00
"Osborne, Mervan F.",2065.00,3338.00,4281.00,4907.00,5338.00,5647.00,5816.00,5962.00,6059.00,6181.00,6254.00,9650.00
"Stead, Sr., Charles Lewis",293.00,785.00,1251.00,1558.00,1843.00,2025.00,2188.00,2334.00,2472.00,2620.00,2785.00,13119.00
"Tauber, Nancy",1490.00,3406.00,5009.00,6006.00,6675.00,7070.00,7238.00,7330.00,7396.00,7448.00,7488.00,8416.00
"Turkel, Alice L.",2112.00,3960.00,5466.00,6372.00,6961.00,7342.00,7504.00,7596.00,7673.00,7721.00,7761.00,8143.00
writeIns,58.00,74.00,92.00,105.00,117.00,125.00,132.00,134.00,138.00,139.00,141.00,15763.00
