,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8,Rank 9,Rank 10,Rank 11,Did Not Rank
"Allen, Ruth Ryan",892.00,1774.00,2442.00,2994.00,3491.00,3954.00,4274.00,4537.00,4760.00,4968.00,5144.00,15993.00
"Bowman, Mannika L.",3107.00,5503.00,7519.00,8534.00,9145.00,9522.00,9722.00,9856.00,9963.00,10044.00,10121.00,11016.00
"Dawson, Bernette J.",976.00,2110.00,3103.00,3851.00,4454.00,4918.00,5226.00,5454.00,5636.00,5805.00,5909.00,15228.00
"Dexter, Emily R.",2999.00,6118.00,8209.00,9351.00,10096.00,10495.00,10701.00,10816.00,10907.00,10980.00,11069.00,10068.00
"Fantini, Alfred B.",2662.00,4162.00,5971.00,6934.00,7571.00,8048.00,8336.00,8532.00,8680.00,8832.00,9007.00,12130.00
"Kadete, Elechi M.",814.00,1683.00,2645.00,3539.00,4293.00,4822.00,5186.00,5458.00,5681.00,5851.00,5991.00,15146.00
"Lim, Christopher",934.00,1933.00,2813.00,3696.00,4454.00,5010.00,5338.00,5594.00,5854.00,6054.00,6155.00,14982.00
"Rojas Villareal, Jose Luis",1131.00,2221.00,3482.00,4516.00,5396.00,6034.00,6385.00,6653.00,6835.00,6994.00,7107.00,14030.00
"Weinstain, Rachel",2176.00,3888.00,5322.00,6438.00,7256.00,7808.00,8115.00,8344.00,8522.00,8669.00,8764.00,12373.00
"Weinstein, David J.",971.00,2129.00,3176.00,4182.00,4990.00,5523.00,5837.00,6071.00,6306.00,6508.00,6686.00,14451.00
"Wilson, Ayesha",2690.00,4681.00,6246.00,7440.00,8399.00,9025.00,9298.00,9474.00,9570.00,9673.00,9737.00,11400.00
writeIns,51.00,65.00,72.00,88.00,95.00,103.00,107.00,114.00,124.00,136.00,140.00,20997.00
