,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8,Rank 9,Did Not Rank
"Cronin, Fran Albin",10.34,18.26,24.71,28.93,32.07,34.32,35.55,36.56,37.45,62.55
"Fantini, Alfred B.",16.13,24.51,31.41,36.74,39.73,41.86,42.93,43.96,44.89,55.11
"Gerber, Joyce C.",6.35,13.85,20.36,24.73,28.32,30.76,32.33,33.30,34.10,65.90
"Harding, Jr., Richard",13.31,23.74,32.14,38.49,42.18,44.27,45.18,45.91,46.46,53.54
"Holland, John J.",3.32,7.21,10.81,13.48,15.97,18.01,19.92,21.54,22.71,77.29
"Kadete, Elechi M.",2.78,6.39,10.14,13.44,16.01,18.31,20.06,21.84,23.00,77.00
"Kelly, Kathleen M.",11.86,21.09,28.56,33.32,37.05,39.33,40.54,41.36,41.97,58.03
"Nolan, Patricia M.",22.13,37.02,46.73,51.81,54.07,55.55,56.16,56.64,57.09,42.91
"Osborne, Mervan F.",6.99,16.43,25.24,31.60,34.91,36.89,38.04,38.91,39.62,60.38
writeIns,0.41,0.58,0.68,0.77,0.84,0.90,0.93,0.97,1.00,99.00
