,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8,Rank 9,Rank 10,Rank 11,Rank 12,Rank 13,Rank 14,Rank 15,Rank 16,Did Not Rank
"Davis, Henrietta",11.60,22.40,31.83,38.61,43.39,46.39,48.40,49.77,50.39,50.78,51.17,51.43,51.61,51.88,52.09,52.24,47.76
"Decker, Marjorie C.",7.78,17.67,26.69,33.25,38.01,41.50,43.76,45.16,46.05,46.54,46.94,47.24,47.50,47.74,47.99,48.14,51.86
"Galluccio, Anthony D.",3.80,9.44,14.46,17.91,20.55,22.43,23.77,24.97,25.71,26.17,26.40,26.64,26.97,27.41,27.68,28.07,71.93
"Janik, Jonathan S.",1.89,3.59,5.44,7.38,9.63,11.43,13.26,14.76,15.92,16.74,17.47,18.11,18.65,19.20,19.53,19.82,80.18
"Kelley, Craig A.",8.15,13.37,18.20,22.60,26.29,29.60,32.16,34.08,35.50,36.27,36.74,37.14,37.52,37.86,38.15,38.28,61.72
"Maher, David P.",9.55,16.06,21.91,26.46,30.25,33.53,35.96,37.77,39.20,39.98,40.50,40.91,41.34,41.59,41.83,41.99,58.01
"Moore, M. Kevin",1.82,4.41,7.11,9.31,11.28,13.03,14.53,15.83,16.89,17.71,18.53,19.18,19.69,20.07,20.36,20.55,79.45
"Moree, Gregg J.",0.81,1.66,2.58,3.64,4.66,5.62,6.57,7.32,7.91,8.60,9.29,10.02,10.66,11.23,11.87,12.32,87.68
"Murphy, Brian",8.45,16.10,22.86,28.66,33.24,36.72,39.41,41.48,42.74,43.27,43.75,44.17,44.55,44.87,45.03,45.16,54.84
"Podgers, Kathy",0.67,1.49,2.65,3.94,4.96,6.18,7.29,8.22,9.12,9.88,10.54,11.19,11.94,12.47,13.05,13.34,86.66
"Reeves, Kenneth E.",8.86,14.61,19.80,24.12,27.32,29.64,31.27,32.58,33.80,34.44,34.81,35.11,35.44,35.76,36.09,36.53,63.47
"Seidel, Sam",7.56,14.43,20.04,24.80,28.61,31.46,33.28,34.68,35.78,36.36,36.78,37.30,37.66,38.10,38.55,38.85,61.15
"Simmons, E. Denise",7.24,16.69,25.49,32.69,38.02,41.53,44.10,45.83,46.94,47.49,47.72,47.98,48.16,48.36,48.62,48.77,51.23
"Sullivan, Edward J.",6.04,12.01,16.69,19.42,21.58,22.98,24.25,25.42,26.49,27.09,27.72,28.31,28.81,29.28,29.66,29.90,70.10
"Toomey, Timothy J., Jr.",9.74,16.68,22.56,26.65,29.82,32.45,34.47,36.18,37.36,38.18,38.79,39.13,39.38,39.65,39.91,40.11,59.89
"Ward, Larry W.",5.09,9.77,14.44,18.17,21.44,24.15,26.36,27.93,29.09,29.84,30.37,30.81,31.27,31.62,31.94,32.21,67.79
writeIns,0.18,0.25,0.34,0.40,0.47,0.53,0.55,0.61,0.63,0.66,0.68,0.69,0.70,0.71,0.74,0.77,99.23
