,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8,Did Not Rank
"Fantini, Alfred B.",14.07,25.15,30.22,33.63,36.48,39.05,40.95,42.66,57.34
"Grassi, Joseph G.",12.29,23.69,29.98,33.88,37.11,40.16,42.19,43.16,56.84
"Harding, Richard, Jr.",12.22,19.39,28.15,34.82,39.45,42.46,43.90,44.85,55.15
"Lummis, Ben",9.34,18.57,27.22,33.99,38.38,41.32,42.88,43.80,56.20
"McGovern, Marc C.",8.72,18.35,27.93,34.38,39.43,42.35,43.63,44.60,55.40
"Nolan, Patricia M.",14.73,25.17,32.70,37.19,40.05,42.13,43.94,44.90,55.10
"Schuster, Luc",11.38,20.95,27.07,30.94,33.83,35.77,37.38,39.35,60.65
"Walser, Nancy",12.36,23.89,34.12,40.30,44.01,46.82,48.03,49.03,50.97
writeIns,0.34,0.53,0.62,0.73,0.78,0.81,0.83,0.85,99.15
