,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8,Did Not Rank
"Craig, Christopher",556.00,1253.00,2250.00,2929.00,3514.00,4031.00,4347.00,4683.00,16225.00
"Fantini, Alfred B.",2884.00,4980.00,6057.00,6735.00,7304.00,7699.00,8014.00,8190.00,12718.00
"Grassi, Joseph G.",2276.00,4563.00,5703.00,6496.00,7088.00,7474.00,7756.00,7922.00,12986.00
"Harding, Richard, Jr.",2344.00,4166.00,6386.00,7672.00,8534.00,8875.00,9066.00,9221.00,11687.00
"Lummis, Ben",2588.00,4811.00,6342.00,7290.00,7839.00,8219.00,8508.00,8738.00,12170.00
"McGovern, Marc C.",2702.00,4617.00,6211.00,7184.00,7767.00,8110.00,8437.00,8649.00,12259.00
"Price, Alan C.",1293.00,3316.00,5151.00,6433.00,7299.00,7752.00,8005.00,8159.00,12749.00
"Walser, Nancy",3823.00,5960.00,7661.00,8690.00,9451.00,9770.00,9947.00,10083.00,10825.00
writeIns,97.00,120.00,151.00,179.00,196.00,209.00,221.00,227.00,20681.00
