,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8,Rank 9,Rank 10,Rank 11,Did Not Rank
"Fantini, Alfred B.",14.91,21.00,25.89,30.05,33.17,35.91,37.29,38.15,38.80,39.35,39.88,60.12
"Forster, Bill",2.07,4.73,7.38,9.65,11.40,13.07,14.48,15.75,16.83,17.67,18.22,81.78
"Gerber, Joyce C.",2.73,6.38,10.00,13.03,15.65,17.54,18.79,20.07,21.08,21.97,22.39,77.61
"Harding, Jr., Richard",11.63,19.99,26.77,31.81,35.78,38.80,39.90,40.56,41.02,41.45,41.75,58.25
"Holland, John J.",2.43,5.30,8.16,10.44,12.68,14.07,15.23,16.14,17.28,18.12,18.84,81.16
"McGovern, Marc C.",11.12,22.16,31.33,37.90,42.12,44.66,45.66,46.26,46.75,47.08,47.36,52.64
"Nolan, Patricia M.",13.36,24.18,33.28,39.57,43.20,45.34,46.25,46.82,47.26,47.65,47.91,52.09
"Osborne, Mervan F.",12.98,20.99,26.91,30.84,33.55,35.49,36.55,37.46,38.07,38.83,39.29,60.71
"Stead, Sr., Charles Lewis",1.84,4.94,7.86,9.79,11.58,12.72,13.74,14.66,15.52,16.45,17.49,82.51
"Tauber, Nancy",9.36,21.40,31.47,37.73,41.94,44.42,45.47,46.05,46.47,46.79,47.04,52.96
"Turkel, Alice L.",13.27,24.89,34.36,40.05,43.75,46.14,47.16,47.73,48.21,48.52,48.77,51.23
writeIns,0.35,0.45,0.57,0.65,0.72,0.77,0.82,0.83,0.86,0.86,0.87,99.13
