,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8,Did Not Rank
"Fantini, Alfred B.",2278.00,4071.00,4892.00,5445.00,5905.00,6321.00,6629.00,6907.00,9282.00
"Grassi, Joseph G.",1990.00,3835.00,4853.00,5485.00,6007.00,6502.00,6830.00,6987.00,9202.00
"Harding, Richard, Jr.",1979.00,3139.00,4557.00,5637.00,6386.00,6874.00,7107.00,7260.00,8929.00
"Lummis, Ben",1512.00,3007.00,4406.00,5503.00,6214.00,6690.00,6942.00,7091.00,9098.00
"McGovern, Marc C.",1411.00,2971.00,4522.00,5565.00,6383.00,6856.00,7063.00,7221.00,8968.00
"Nolan, Patricia M.",2385.00,4075.00,5294.00,6021.00,6484.00,6820.00,7113.00,7269.00,8920.00
"Schuster, Luc",1842.00,3392.00,4383.00,5009.00,5476.00,5791.00,6052.00,6370.00,9819.00
"Walser, Nancy",2001.00,3868.00,5524.00,6524.00,7125.00,7579.00,7775.00,7937.00,8252.00
writeIns,55.00,86.00,101.00,118.00,126.00,131.00,134.00,138.00,16051.00
