,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8,Rank 9,Rank 10,Rank 11,Rank 12,Rank 13,Rank 14,Rank 15,Rank 16,Rank 17,Rank 18,Did Not Rank
"Cheung, Leland",12.62,25.75,35.81,42.65,47.21,50.18,52.13,53.20,53.95,54.30,54.54,54.72,54.85,54.96,55.16,55.35,55.44,55.51,44.49
"Davis, Henrietta",8.99,18.27,26.97,33.67,38.53,42.20,44.27,45.53,46.38,46.67,46.92,47.13,47.33,47.48,47.66,47.85,47.95,48.04,51.96
"Decker, Marjorie C.",7.03,14.55,22.36,28.45,32.57,35.43,37.56,38.99,39.77,40.19,40.48,40.69,40.98,41.14,41.29,41.44,41.71,41.92,58.08
"Kelley, Craig A.",6.87,12.42,17.20,20.64,23.82,26.40,28.46,30.46,31.71,32.30,32.65,33.00,33.29,33.52,33.75,34.04,34.27,34.44,65.56
"Maher, David P.",10.55,18.24,24.28,28.83,32.85,36.28,38.71,40.30,41.74,42.41,42.74,43.00,43.18,43.41,43.60,43.75,43.94,44.07,55.93
"Marquardt, Charles J.",3.12,5.50,7.51,9.19,10.84,12.03,13.06,14.20,14.98,15.71,16.31,16.82,17.14,17.51,17.87,18.19,18.39,18.61,81.39
"Mello, Gary W.",0.85,1.83,2.87,3.96,4.87,5.79,6.66,7.53,8.30,8.79,9.36,9.92,10.31,10.76,11.27,11.64,11.96,12.10,87.90
"Moree, Gregg J.",0.35,0.89,1.60,2.24,2.81,3.48,4.14,4.74,5.33,5.90,6.31,6.76,7.38,7.82,8.25,8.73,9.05,9.33,90.67
"Nelson, Matthew P.",3.39,5.52,7.71,9.83,11.75,13.26,14.46,15.62,16.52,17.21,17.78,18.26,18.70,19.22,19.55,19.87,20.15,20.26,79.74
"Pascual, Jamake",0.39,0.90,1.58,2.30,3.23,3.96,4.73,5.38,5.98,6.43,6.93,7.36,7.79,8.16,8.63,8.93,9.27,9.72,90.28
"Reeves, Kenneth E.",6.33,12.70,18.73,23.50,27.26,30.34,32.78,34.42,35.73,36.33,36.70,37.00,37.30,37.53,37.67,37.86,38.05,38.21,61.79
"Seidel, Sam",4.93,10.29,16.05,21.14,25.38,29.06,31.71,33.77,35.18,35.76,36.20,36.53,36.79,37.06,37.18,37.39,37.56,37.66,62.34
"Simmons, E. Denise",7.90,16.60,24.23,30.24,35.18,38.56,41.03,42.70,43.72,44.21,44.46,44.68,44.90,45.08,45.24,45.39,45.55,45.66,54.34
"Stohlman, Jr., Thomas J.",2.15,4.35,6.77,8.93,10.64,12.15,13.55,14.58,15.53,16.22,16.71,17.12,17.49,17.88,18.26,18.56,18.85,19.13,80.87
"Toomey, Jr., Timothy J.",10.65,16.68,21.51,25.16,28.06,30.32,32.38,34.14,35.59,36.35,36.85,37.13,37.32,37.54,37.84,38.03,38.23,38.43,61.57
"Ward, Larry W.",5.23,9.96,14.45,17.87,20.54,22.70,24.55,25.93,27.18,27.98,28.71,29.07,29.50,29.74,29.95,30.15,30.46,30.59,69.41
"Williamson, James M.",1.10,1.99,2.95,3.83,4.73,5.47,6.15,6.92,7.57,8.18,8.58,9.05,9.47,9.94,10.29,10.69,11.15,11.53,88.47
"vanBeuzekom, Minka Y.",6.50,12.18,16.77,20.44,23.37,25.67,27.30,28.75,29.82,30.52,30.98,31.43,31.73,31.98,32.25,32.55,32.74,32.95,67.05
writeIns,0.15,0.28,0.38,0.47,0.52,0.54,0.60,0.64,0.68,0.71,0.72,0.74,0.75,0.75,0.76,0.76,0.77,0.78,99.22
