,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8,Rank 9,Did Not Rank
"Fantini, Alfred B.",2013.00,3563.00,4371.00,4959.00,5383.00,5651.00,5845.00,5986.00,6108.00,7601.00
"Grassi, Joseph G.",1625.00,3308.00,4134.00,4724.00,5162.00,5468.00,5665.00,5830.00,5914.00,7795.00
"Harding, Richard, Jr.",1561.00,2517.00,3921.00,4793.00,5389.00,5721.00,5912.00,6023.00,6098.00,7611.00
"Lemily Wiggins, Gail",1024.00,1930.00,2755.00,3358.00,3818.00,4173.00,4411.00,4604.00,4721.00,8988.00
"Malner, Stefan",133.00,386.00,793.00,1065.00,1325.00,1577.00,1851.00,2138.00,2422.00,11287.00
"McGovern, Marc C.",2275.00,4032.00,5261.00,5975.00,6364.00,6646.00,6809.00,6935.00,7044.00,6665.00
"Nolan, Patricia M.",1672.00,3436.00,4776.00,5546.00,6045.00,6308.00,6433.00,6529.00,6611.00,7098.00
"Schuster, Luc",1675.00,2877.00,4012.00,4804.00,5377.00,5697.00,5845.00,5968.00,6071.00,7638.00
"Tauber, Nancy",1245.00,2417.00,3413.00,4170.00,4641.00,4943.00,5128.00,5254.00,5368.00,8341.00
writeIns,36.00,46.00,61.00,76.00,89.00,96.00,100.00,101.00,103.00,13606.00
