,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8,Rank 9,Rank 10,Rank 11,Rank 12,Rank 13,Rank 14,Rank 15,Rank 16,Rank 17,Rank 18,Rank 19,Did Not Rank
"Condit, James E., III",0.35,0.88,1.54,2.14,2.71,3.27,3.83,4.40,4.96,5.38,5.63,5.94,6.22,6.52,6.86,7.19,7.50,7.73,7.90,92.10
"Davis, Henrietta",9.59,18.58,27.17,34.14,39.01,42.70,44.88,46.31,46.95,47.15,47.30,47.38,47.49,47.59,47.72,47.82,47.97,48.07,48.16,51.84
"Decker, Marjorie C.",8.62,17.84,25.86,32.42,37.18,40.43,42.69,43.91,44.50,44.84,45.01,45.14,45.23,45.39,45.53,45.62,45.73,45.88,45.95,54.05
"Dixon, Vincent Lawrence",0.49,1.14,2.11,3.04,3.91,4.59,5.27,5.91,6.42,6.95,7.34,7.63,7.88,8.18,8.47,8.77,8.96,9.18,9.40,90.60
"Galluccio, Anthony D.",18.16,28.56,36.99,42.38,45.91,48.38,50.24,51.38,52.04,52.40,52.64,52.76,52.91,52.97,53.06,53.17,53.30,53.41,53.48,46.52
"Hall, Robert L.",0.84,1.66,2.61,3.64,4.85,5.94,6.76,7.49,8.16,8.70,9.11,9.48,9.83,10.10,10.34,10.66,10.88,11.06,11.20,88.80
"Horowitz, Jacob",0.85,2.44,4.64,7.00,9.92,12.85,14.73,15.97,16.89,17.54,18.00,18.49,18.79,19.01,19.23,19.44,19.68,19.91,20.00,80.00
"Iskovitz, Steve",1.92,3.09,4.08,5.10,6.11,7.07,8.01,8.82,9.58,10.15,10.67,11.05,11.43,11.81,12.02,12.30,12.51,12.68,12.85,87.15
"Jens, Steven E.",1.55,2.19,2.65,3.19,3.94,4.53,5.06,5.54,5.98,6.38,6.78,7.21,7.65,8.01,8.33,8.53,8.83,9.08,9.22,90.78
"King, Ethridge A.",2.09,5.67,10.11,14.49,18.82,22.28,24.38,25.79,26.80,27.24,27.58,27.95,28.22,28.51,28.79,28.98,29.08,29.21,29.32,70.68
"Maher, David P.",5.70,13.07,19.97,25.66,29.55,32.38,34.37,35.71,36.55,37.04,37.37,37.60,37.80,37.97,38.17,38.35,38.49,38.59,38.66,61.34
"Murphy, Brian",9.65,16.37,21.92,26.84,30.67,33.48,35.24,36.29,37.08,37.51,37.82,38.05,38.28,38.52,38.74,38.92,39.11,39.22,39.33,60.67
"Peixoto, Helder",0.34,1.15,2.00,2.89,3.97,4.89,5.61,6.20,6.76,7.13,7.60,7.99,8.28,8.57,8.87,9.18,9.44,9.68,9.88,90.12
"Pitkin, John",6.13,11.17,15.26,18.87,22.56,25.82,27.66,28.82,29.55,29.94,30.26,30.52,30.82,31.04,31.22,31.50,31.72,31.90,32.03,67.97
"Reeves, Kenneth E.",6.41,12.42,17.39,22.14,26.54,29.47,31.76,33.32,34.28,34.63,34.88,35.11,35.26,35.39,35.51,35.66,35.82,35.98,36.19,63.81
"Simmons, Denise",7.50,16.41,24.46,30.50,34.96,38.27,40.13,41.25,41.99,42.28,42.53,42.72,42.88,42.97,43.07,43.18,43.26,43.39,43.54,56.46
"Sullivan, Michael A.",7.33,17.54,26.00,30.71,33.82,36.26,38.12,39.19,39.93,40.38,40.63,40.84,41.04,41.20,41.34,41.45,41.56,41.68,41.77,58.23
"Toomey, Timothy J., Jr.",7.84,13.30,19.14,24.73,27.95,30.12,31.76,32.94,33.67,34.12,34.37,34.62,34.80,34.98,35.12,35.24,35.39,35.52,35.57,64.43
"Williamson, James M.",0.31,0.73,1.26,1.78,2.30,2.86,3.38,3.91,4.53,4.98,5.30,5.61,5.93,6.30,6.60,6.85,7.17,7.40,7.60,92.40
writeIns,0.17,0.21,0.32,0.42,0.49,0.59,0.66,0.68,0.70,0.73,0.73,0.75,0.76,0.78,0.80,0.80,0.81,0.83,0.84,99.16
