condorcet winner: Joseph R. Biden,Amy Klobuchar,Andrew Yang,Bernie Sanders,Deval Patrick,Elizabeth Warren,Joseph R. Biden,Michael R.,Pete Buttigieg,Tom Steyer,Tulsi Gabbard,Uncommitted
Amy Klobuchar,,1251.00,1069.00,1291.00,926.00,353.00,1227.00,1116.00,1281.00,1225.00,1291.00
Andrew Yang,1233.00,,584.00,1274.00,926.00,865.00,1234.00,1197.00,1266.00,1071.00,1273.00
Bernie Sanders,11189.00,11137.00,,11247.00,10267.00,7621.00,11107.00,11134.00,11237.00,10762.00,11211.00
Deval Patrick,65.00,71.00,60.00,,57.00,27.00,67.00,60.00,70.00,60.00,71.00
Elizabeth Warren,5164.00,5226.00,2531.00,5333.00,,2859.00,5236.00,5178.00,5326.00,5056.00,5323.00
Joseph R. Biden,15066.00,15077.00,11900.00,15168.00,13911.00,,15016.00,15004.00,15148.00,14634.00,15140.00
Michael R.,1123.00,1137.00,895.00,1156.00,1060.00,367.00,,1099.00,1149.00,1062.00,1155.00
Pete Buttigieg,1404.00,1493.00,1130.00,1544.00,1245.00,514.00,1451.00,,1542.00,1490.00,1542.00
Tom Steyer,289.00,276.00,169.00,301.00,225.00,158.00,272.00,280.00,,264.00,298.00
Tulsi Gabbard,2979.00,2926.00,1411.00,2998.00,2757.00,2083.00,2946.00,2968.00,2993.00,,2990.00
Uncommitted,1182.00,1143.00,533.00,1191.00,1025.00,621.00,1154.00,1172.00,1187.00,998.00,
