candidate,r1_percent,r1_count,r1_transfer,r2_percent,r2_count,r2_transfer,r3_percent,r3_count,r3_transfer,r4_percent,r4_count,r4_transfer,r5_percent,r5_count,r5_transfer,r6_percent,r6_count,r6_transfer,r7_percent,r7_count,r7_transfer,r8_percent,r8_count,r8_transfer,r9_percent,r9_count,recheck_r9_count,calc_minus_recalc_diff,,r9_transfer,r10_percent,r10_count,r10_transfer
Scott Vreeland,0.004,3,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
Bob Sullentrop,1.967,1659,0,1.967,1659,5,1.981,1664,-1664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
Charlie Casserly,4.453,3756,2,4.455,3758,2,4.476,3760,154,4.683,3914,242,5.031,4156,-4156,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
writeIns,0.462,390,0,0.462,390,-390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
Mike Derus,12.661,10679,0,12.661,10679,7,12.72,10686,245,13.078,10931,473,13.804,11404,931,15.189,12335,514,16.108,12849,1121,18.084,13970,439.1169951,19.314,14588.53264,14409.117,179.4156482,,-14588.53264,0,0,
Russ Henry,10.737,9056,0,10.737,9056,7,10.788,9063,146,11.018,9209,320,11.534,9529,286,12.086,9815,1199,13.808,11014,-11014,0,0,0,0,0,0,0,,0,0,0,
Devin Hogan,7.405,6246,0,7.405,6246,4,7.44,6250,77,7.57,6327,144,7.833,6471,264,8.294,6735,-6735,0,0,0,0,0,0,0,0,0,0,,0,0,0,
Jonathan Honerbrink,3.103,2617,0,3.103,2617,1,3.116,2618,329,3.526,2947,-2947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
Meg Forney,22.538,19010,1,22.539,19011,14,22.647,19025,149,22.94,19174,404,23.698,19578,788,25.079,20366,700,26.41,21066,1440,29.134,22506,-879.85688,27.917,21087,21626.14312,-539.14312,,0,33.843,21087,
Londel French,14.707,12405,0,14.707,12405,2,14.769,12407,43,14.895,12450,139,15.238,12589,226,15.78,12815,1493,17.937,14308,3639,23.232,17947,645.3949392,24.853,18772.62605,18592.39494,180.2311092,,1361.411793,32.314,20134.03784,
Latrisha Vetaw,21.964,18526,0,21.964,18526,8,22.062,18534,97,22.29,18631,257,22.863,18888,254,23.572,19142,1387,25.737,20529,2298,29.55,22827,-1345.434018,27.917,21087,21481.56598,-394.5659824,,0,33.843,21087,
exhaust,0,0,0,0,0,340,0,340,424,0,764,968,0,1732,1407,0,3139,1442,0,4581,2516,0,7097,1140.778963,0,8237.778963,8237.778963,0,,13227.12085,0,21464.89981,
colsum,100.001,84347,0,100,84347,0,99.999,84347,0,100,84347,0,100.001,84347,0,100,84347,0,100,84347,0,100,84347,0,100.001,83772.93766,,,,0,100,83772.93766,
,,,,,,,,,,,,,,,,,,,,,,,,,,83772.93766,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,14409.117,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-2225.290898,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,2225.290898,,,,,,,,,
