,Barbara A. Johnson,Grant Cermak,Marcus Harcus,Troy Parker,writeIns
first_choice,46.86,11.70,13.40,27.92,0.12
Barbara A. Johnson,,35.50,30.08,36.67,100.00
Grant Cermak,21.36,,15.60,14.92,0.00
Marcus Harcus,22.94,33.00,,48.25,0.00
Troy Parker,55.27,29.50,54.32,,0.00
writeIns,0.43,2.00,0.00,0.16,
