,CHRISTINE JOHNSON,MATT HANEY,SONJA TRAUSS
first_choice,24.74,56.41,18.85
CHRISTINE JOHNSON,,53.52,69.35
MATT HANEY,42.29,,30.65
SONJA TRAUSS,57.71,46.48,
