,Calvin Louie,Isaac Wang,Jose Cisneros,Manuel B. Valle
first_choice,43341.00,16175.00,108155.00,8820.00
Calvin Louie,,7198.00,26179.00,2223.00
Isaac Wang,15929.00,,13670.00,1253.00
Jose Cisneros,10505.00,3689.00,,2603.00
Manuel B. Valle,3867.00,1455.00,16255.00,
exhaust,13040.00,3833.00,52051.00,2741.00
