,ALICIA WANG,BRIAN J. LARKIN,ERIC MAR,FIDEL CHRYS GAKUBA,GEORGE FLAMIK,JASON JUNGREIS,NICHOLAS C. BELLONI,SHERMAN R. D''SILVA,SUE LEE,writeIns
first_choice,4218.00,998.00,11649.00,363.00,325.00,614.00,537.00,257.00,9753.00,42.00
ALICIA WANG,,120.00,3083.00,54.00,28.00,61.00,60.00,30.00,4897.00,0.00
BRIAN J. LARKIN,216.00,,394.00,35.00,82.00,95.00,69.00,24.00,250.00,2.00
ERIC MAR,835.00,116.00,,54.00,28.00,94.00,62.00,33.00,1814.00,3.00
FIDEL CHRYS GAKUBA,112.00,30.00,207.00,,26.00,44.00,43.00,17.00,207.00,0.00
GEORGE FLAMIK,65.00,183.00,129.00,19.00,,37.00,58.00,21.00,132.00,0.00
JASON JUNGREIS,138.00,75.00,303.00,26.00,22.00,,29.00,17.00,186.00,0.00
NICHOLAS C. BELLONI,89.00,106.00,311.00,44.00,32.00,42.00,,60.00,214.00,0.00
SHERMAN R. D''SILVA,52.00,64.00,124.00,16.00,25.00,29.00,49.00,,74.00,0.00
SUE LEE,2113.00,120.00,2903.00,83.00,33.00,132.00,85.00,23.00,,1.00
writeIns,2.00,1.00,45.00,0.00,1.00,1.00,0.00,0.00,9.00,
exhaust,596.00,183.00,4150.00,32.00,48.00,79.00,82.00,32.00,1970.00,36.00
