,ABRAHAM SIMMONS,BARBARA BERWICK,JANET REILLY,KAT ANDERSON,MARK FARRELL,VILMA B. GUINTO PEORO,writeIns
first_choice,2074.00,537.00,9898.00,1707.00,9700.00,160.00,18.00
ABRAHAM SIMMONS,,64.00,1033.00,256.00,2025.00,16.00,1.00
BARBARA BERWICK,135.00,,508.00,189.00,662.00,30.00,0.00
JANET REILLY,511.00,90.00,,321.00,1787.00,29.00,1.00
KAT ANDERSON,341.00,75.00,1085.00,,1502.00,15.00,2.00
MARK FARRELL,582.00,167.00,2219.00,547.00,,30.00,1.00
VILMA B. GUINTO PEORO,46.00,39.00,118.00,21.00,146.00,,2.00
writeIns,4.00,0.00,13.00,1.00,13.00,0.00,
exhaust,455.00,102.00,4922.00,372.00,3565.00,40.00,11.00
