,AMY FARAH WEISS,ED LEE,FRANCISCO HERRERA,KENT GRAHAM,REED MARTIN,STUART SCHUFFMAN,writeIns
first_choice,12.25,55.75,15.18,4.65,2.46,9.67,0.03
AMY FARAH WEISS,,32.64,44.85,28.41,34.09,42.62,24.32
ED LEE,9.49,,8.77,18.02,15.09,8.50,8.11
FRANCISCO HERRERA,43.44,26.62,,17.70,17.37,34.35,32.43
KENT GRAHAM,11.60,17.27,6.27,,16.90,7.86,2.70
REED MARTIN,7.62,9.74,8.14,14.30,,6.65,8.11
STUART SCHUFFMAN,27.84,13.71,31.97,21.56,16.53,,24.32
writeIns,0.01,0.02,0.00,0.02,0.03,0.03,
