,AL G. MURRAY,BEN BARTLETT,DEBORAH MATTHEWS,MARK A. COPLAN
first_choice,1.87,57.04,20.82,20.27
AL G. MURRAY,,6.26,6.48,9.22
BEN BARTLETT,23.31,,42.04,40.82
DEBORAH MATTHEWS,31.58,26.48,,27.03
MARK A. COPLAN,26.32,37.68,25.10,
exhaust,18.80,29.58,26.38,22.94
