,Erica Mauter,Jeremy Schroeder,John Quincy,writeIns
first_choice,2696.00,3230.00,3200.00,34.00
Erica Mauter,,1505.00,915.00,1.00
Jeremy Schroeder,1523.00,,1192.00,2.00
John Quincy,775.00,1144.00,,5.00
writeIns,7.00,7.00,14.00,
exhaust,391.00,574.00,1079.00,26.00
