,ALICE A. SPEARMAN,JAMES HARRIS,writeIns
first_choice,5966.00,7986.00,154.00
ALICE A. SPEARMAN,,3930.00,11.00
JAMES HARRIS,3090.00,,22.00
writeIns,108.00,153.00,
exhaust,2768.00,3903.00,121.00
