,GEORGE BEIER,JACQUELYN MCCORMICK,LORI DROSTE,MIKE ALVAREZ COHEN
first_choice,26.52,18.53,29.17,25.79
GEORGE BEIER,,32.86,24.58,39.31
JACQUELYN MCCORMICK,22.29,,27.47,14.94
LORI DROSTE,30.97,35.36,,28.41
MIKE ALVAREZ COHEN,32.05,16.13,30.42,
exhaust,14.69,15.65,17.53,17.34
