,DESLEY BROOKS,JOSE DORADO,NANCY SIDEBOTHAM,writeIns
first_choice,8282.00,2767.00,1777.00,85.00
DESLEY BROOKS,,791.00,533.00,13.00
JOSE DORADO,2105.00,,856.00,10.00
NANCY SIDEBOTHAM,3244.00,1331.00,,12.00
writeIns,91.00,32.00,17.00,
exhaust,2842.00,613.00,371.00,50.00
