,Barbara A. Johnson,Grant Cermak,Marcus Harcus,Troy Parker,writeIns
first_choice,46.86,11.70,13.40,27.92,0.12
Barbara A. Johnson,,18.39,24.43,25.08,25.00
Grant Cermak,9.57,,12.67,10.21,0.00
Marcus Harcus,10.28,17.10,,33.01,0.00
Troy Parker,24.77,15.28,44.12,,0.00
writeIns,0.19,1.04,0.00,0.11,
exhaust,55.17,48.19,18.78,31.60,75.00
