,Alan Webber,Joseph M. Maestas,Kate I. Noble,Peter N. Ives,Ronald S. Trujillo
first_choice,8080.00,1649.00,4611.00,1238.00,5026.00
Alan Webber,,502.00,2232.00,394.00,731.00
Joseph M. Maestas,1746.00,,990.00,169.00,1538.00
Kate I. Noble,3350.00,508.00,,317.00,716.00
Peter N. Ives,1642.00,203.00,638.00,,676.00
Ronald S. Trujillo,562.00,313.00,412.00,215.00,
exhaust,780.00,123.00,339.00,143.00,1365.00
