,ELLEN LEE ZHOU,JOEL VENTRESCA,LONDON N. BREED,MARC ROTH,PAUL YBARRA ROBERTSON,"ROBERT L. JORDAN, JR.",WILMA PANG,writeIns
first_choice,13.92,7.40,70.28,0.00,4.26,1.37,2.76,0.00
ELLEN LEE ZHOU,,19.10,34.02,0.00,28.62,15.38,37.28,0.00
JOEL VENTRESCA,13.79,,28.10,50.00,28.61,16.76,18.27,0.00
LONDON N. BREED,28.65,36.24,,16.67,17.75,17.42,15.43,0.00
MARC ROTH,0.01,0.02,0.00,,0.00,0.00,0.03,0.00
PAUL YBARRA ROBERTSON,21.08,18.74,16.46,0.00,,33.42,15.13,0.00
"ROBERT L. JORDAN, JR.",5.80,7.00,8.32,16.67,12.84,,13.86,0.00
WILMA PANG,30.68,18.91,13.10,16.67,12.18,17.02,,0.00
writeIns,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
