,PHOEBE SORGEN,SUSAN WENGRAF,writeIns
first_choice,4.89,93.71,1.41
PHOEBE SORGEN,,35.87,0.00
SUSAN WENGRAF,66.20,,100.00
writeIns,33.80,64.13,
