,"Bond, Tiffany L.","DEM Golden, Jared F.","Hoar, William R.S.","REP Poliquin, Bruce"
first_choice,16552.00,132013.00,6875.00,134184.00
"Bond, Tiffany L.",,53118.00,2621.00,15211.00
"DEM Golden, Jared F.",4835.00,,1203.00,9315.00
"Hoar, William R.S.",5639.00,18344.00,,19429.00
"REP Poliquin, Bruce",1632.00,8089.00,889.00,
exhaust,4446.00,52462.00,2162.00,90229.00
