,JENNIFER S. PAE,PATRICIA KERNIGHAN,writeIns
first_choice,4604.00,8954.00,75.00
JENNIFER S. PAE,,4537.00,13.00
PATRICIA KERNIGHAN,2282.00,,12.00
writeIns,159.00,176.00,
exhaust,2163.00,4241.00,50.00
