,ADOLFO CABRAL,DARRYL MOORE,DENISHA DELANE,writeIns
first_choice,12.68,58.70,28.10,0.52
ADOLFO CABRAL,,13.94,48.31,13.33
DARRYL MOORE,21.60,,33.42,16.67
DENISHA DELANE,59.24,40.27,,13.33
writeIns,0.41,0.70,0.31,
exhaust,18.75,45.08,17.96,56.67
