,"Cote, Adam Roland","Dion, Donna J.","Dion, Mark N.","Eves, Mark W.","Mills, Janet T.","Russell, Diane Marie","Sweet, Elizabeth A.",writeIns
first_choice,28.13,1.27,4.12,14.18,33.09,2.16,16.46,0.59
"Cote, Adam Roland",,23.40,23.43,24.66,28.22,11.66,19.01,24.38
"Dion, Donna J.",4.77,,6.82,1.57,2.84,6.25,3.15,6.71
"Dion, Mark N.",10.63,18.54,,5.89,10.34,11.03,5.21,10.25
"Eves, Mark W.",28.07,10.41,18.86,,26.86,14.37,33.12,10.95
"Mills, Janet T.",34.40,23.00,28.63,29.13,,16.68,28.35,24.73
"Russell, Diane Marie",2.32,9.86,7.55,3.06,4.12,,11.01,3.89
"Sweet, Elizabeth A.",19.64,14.32,14.58,35.59,27.49,39.85,,19.08
writeIns,0.17,0.47,0.14,0.10,0.13,0.16,0.15,
