,CHESA BOUDIN,LEIF DAUTCH,NANCY TUNG,SUZY LOFTUS,writeIns
first_choice,35.61,13.99,19.33,31.06,0.00
CHESA BOUDIN,,23.12,21.07,31.21,0.00
LEIF DAUTCH,35.18,,46.20,34.82,0.00
NANCY TUNG,22.90,45.20,,33.96,0.00
SUZY LOFTUS,41.91,31.68,32.73,,0.00
writeIns,0.01,0.00,0.00,0.00,
