,Al Rose,Carolyn Merrival,Joyce McDonald,writeIns
first_choice,12317.00,7651.00,19967.00,65.00
Al Rose,,4730.00,4916.00,8.00
Carolyn Merrival,6935.00,,3862.00,8.00
Joyce McDonald,2118.00,1105.00,,5.00
writeIns,11.00,7.00,205.00,
exhaust,3253.00,1809.00,10984.00,44.00
