,ALEJANDRO SOTO-VIGIL,LINDA MAIO,MERRILIE MITCHELL
first_choice,40.80,54.60,4.60
ALEJANDRO SOTO-VIGIL,,48.68,33.98
LINDA MAIO,50.75,,35.16
MERRILIE MITCHELL,19.16,12.11,
exhaust,30.09,39.20,30.86
