,CLAUDINE CHENG,DAVID CHIU,DENISE MCCARTHY,"JOSEPH ALIOTO, JR.",LYNN JEFFERSON,MARK QUESSEY,MIKE DENUNZIO,TONY GANTNER,WILMA PANG,writeIns
first_choice,2515.00,10270.00,3172.00,6285.00,1235.00,204.00,1335.00,1195.00,952.00,35.00
CLAUDINE CHENG,,1809.00,219.00,940.00,140.00,5.00,105.00,95.00,246.00,0.00
DAVID CHIU,773.00,,774.00,1190.00,165.00,33.00,84.00,279.00,198.00,4.00
DENISE MCCARTHY,219.00,3268.00,,987.00,348.00,29.00,95.00,215.00,118.00,2.00
"JOSEPH ALIOTO, JR.",487.00,1376.00,601.00,,209.00,24.00,387.00,245.00,86.00,0.00
LYNN JEFFERSON,156.00,425.00,610.00,496.00,,21.00,143.00,92.00,85.00,1.00
MARK QUESSEY,15.00,85.00,48.00,80.00,16.00,,52.00,16.00,53.00,0.00
MIKE DENUNZIO,71.00,143.00,108.00,660.00,83.00,21.00,,70.00,19.00,0.00
TONY GANTNER,75.00,554.00,286.00,386.00,77.00,9.00,127.00,,29.00,1.00
WILMA PANG,412.00,666.00,109.00,213.00,67.00,32.00,46.00,27.00,,0.00
writeIns,1.00,5.00,3.00,12.00,2.00,1.00,3.00,0.00,0.00,
exhaust,306.00,1939.00,414.00,1321.00,128.00,29.00,293.00,156.00,118.00,27.00
