,AMY FARAH WEISS,ED LEE,FRANCISCO HERRERA,KENT GRAHAM,REED MARTIN,STUART SCHUFFMAN,writeIns
first_choice,23236.00,105771.00,28805.00,8827.00,4660.00,18347.00,61.00
AMY FARAH WEISS,,11108.00,10628.00,1774.00,1297.00,6444.00,9.00
ED LEE,1881.00,,2079.00,1125.00,574.00,1285.00,3.00
FRANCISCO HERRERA,8607.00,9061.00,,1105.00,661.00,5193.00,12.00
KENT GRAHAM,2298.00,5879.00,1486.00,,643.00,1189.00,1.00
REED MARTIN,1510.00,3316.00,1928.00,893.00,,1005.00,3.00
STUART SCHUFFMAN,5516.00,4665.00,7576.00,1346.00,629.00,,9.00
writeIns,2.00,6.00,1.00,1.00,1.00,4.00,
exhaust,3422.00,71736.00,5107.00,2583.00,855.00,3227.00,24.00
