,DESLEY BROOKS,LOREN TAYLOR,MARLO RODRIGUEZ,MYA WHITAKER,NATASHA MIDDLETON
first_choice,24.82,40.11,8.92,14.01,12.14
DESLEY BROOKS,,11.08,9.30,16.16,7.34
LOREN TAYLOR,22.69,,23.95,27.56,30.92
MARLO RODRIGUEZ,7.45,12.36,,19.84,15.18
MYA WHITAKER,23.80,20.12,24.07,,33.59
NATASHA MIDDLETON,11.00,36.76,20.99,19.84,
exhaust,35.06,19.68,21.68,16.60,12.97
