,David Ferguson,Doug Chan,Ed Jew,Houston Zheng,Jaynry Mak,Ron Dudum,writeIns
first_choice,7.34,16.33,26.16,1.18,23.06,25.91,0.01
David Ferguson,,6.15,5.72,17.24,25.26,25.56,0.00
Doug Chan,10.28,,38.68,24.14,22.72,26.45,0.00
Ed Jew,16.64,34.44,,30.05,30.04,27.11,0.00
Houston Zheng,4.49,4.42,5.14,,3.14,2.63,0.00
Jaynry Mak,35.61,28.71,37.45,19.70,,18.22,0.00
Ron Dudum,32.99,26.29,13.01,8.87,18.84,,0.00
writeIns,0.00,0.00,0.00,0.00,0.00,0.03,
