,BEN GOULD,GREGORY MAGOFNA,KATE HARRISON
first_choice,1914.00,667.00,2892.00
BEN GOULD,,419.00,1367.00
GREGORY MAGOFNA,782.00,,609.00
KATE HARRISON,861.00,186.00,
exhaust,271.00,62.00,916.00
