,ANTOINETTE M REYES,JOHANA BENCOMO,ROBERT J PALACIOS
first_choice,21.58,49.00,29.42
ANTOINETTE M REYES,,44.69,28.38
JOHANA BENCOMO,47.32,,32.75
ROBERT J PALACIOS,26.49,30.14,
exhaust,26.19,25.16,38.86
