,DESLEY BROOKS,LOREN TAYLOR,MARLO RODRIGUEZ,MYA WHITAKER,NATASHA MIDDLETON
first_choice,24.82,40.11,8.92,14.01,12.14
DESLEY BROOKS,,13.79,11.88,19.38,8.43
LOREN TAYLOR,34.94,,30.58,33.05,35.52
MARLO RODRIGUEZ,11.47,15.39,,23.79,17.44
MYA WHITAKER,36.65,25.05,30.74,,38.60
NATASHA MIDDLETON,16.93,45.76,26.81,23.79,
