,BENJAMIN LANG,JUMOKE HINTON HODGE,KHARYSHI ''MS. K'' WIGINTON,LUCKY NARAIN,MISTY CROSS
first_choice,19.65,39.84,33.11,7.23,0.17
BENJAMIN LANG,,41.72,55.98,49.37,13.33
JUMOKE HINTON HODGE,35.49,,38.77,26.80,40.00
KHARYSHI ''MS. K'' WIGINTON,49.17,48.75,,23.84,46.67
LUCKY NARAIN,15.34,9.50,5.09,,0.00
MISTY CROSS,0.00,0.03,0.16,0.00,
