,CHESA BOUDIN,LEIF DAUTCH,NANCY TUNG,SUZY LOFTUS,writeIns
first_choice,68792.00,27025.00,37347.00,60002.00,4.00
CHESA BOUDIN,,4745.00,5456.00,10609.00,0.00
LEIF DAUTCH,12494.00,,11962.00,11840.00,2.00
NANCY TUNG,8131.00,9272.00,,11546.00,0.00
SUZY LOFTUS,14885.00,6500.00,8476.00,,0.00
writeIns,2.00,1.00,0.00,1.00,
exhaust,33280.00,6507.00,11453.00,26006.00,2.00
