,BLONG YANG,BRETT BUCKNER,IAN ALEXANDER,KALE R. SEVERSON,writeIns
first_choice,1475.00,746.00,1048.00,220.00,10.00
BLONG YANG,,224.00,462.00,71.00,1.00
BRETT BUCKNER,330.00,,295.00,49.00,1.00
IAN ALEXANDER,401.00,271.00,,39.00,0.00
KALE R. SEVERSON,126.00,77.00,67.00,,1.00
writeIns,4.00,4.00,3.00,3.00,
exhaust,614.00,170.00,221.00,58.00,7.00
