,BENJAMIN LANG,JUMOKE HINTON HODGE,RICHARD FUENTES,writeIns
first_choice,5298.00,9694.00,5547.00,177.00
BENJAMIN LANG,,2893.00,1892.00,11.00
JUMOKE HINTON HODGE,1999.00,,1844.00,16.00
RICHARD FUENTES,1919.00,3221.00,,14.00
writeIns,53.00,57.00,60.00,
exhaust,1327.00,3523.00,1751.00,136.00
