,Carol Becker,David B. Wheeler,John Edwards,writeIns
first_choice,48163.00,19312.00,1539.00,680.00
Carol Becker,,11527.00,154.00,82.00
David B. Wheeler,30638.00,,790.00,50.00
John Edwards,66.00,588.00,,8.00
writeIns,228.00,166.00,21.00,
exhaust,17231.00,7031.00,574.00,540.00
