,COURTNEY RUBY,MICHAEL KILIAN,writeIns
first_choice,66.92,31.84,1.23
COURTNEY RUBY,,63.28,16.53
MICHAEL KILIAN,55.63,,23.75
writeIns,1.67,2.69,
exhaust,42.71,34.03,59.72
