,PHOEBE SORGEN,SUSAN WENGRAF,writeIns
first_choice,4.89,93.71,1.41
PHOEBE SORGEN,,0.59,0.00
SUSAN WENGRAF,16.10,,9.52
writeIns,8.22,1.05,
exhaust,75.68,98.36,90.48
