,Annie Young,Bob Fine,David Wahstedt,John Butler,John Erwin,Mary Merrill Anderson,Nancy Bernard,Phil Willkie,Tom Nordyke,writeIns
first_choice,6941.00,8089.00,2807.00,1114.00,6376.00,5394.00,2024.00,0.00,3716.00,194.00
Annie Young,,1072.00,188.00,114.00,2026.00,1053.00,376.00,0.00,514.00,7.00
Bob Fine,672.00,,295.00,99.00,438.00,619.00,146.00,0.00,483.00,5.00
David Wahstedt,179.00,275.00,,79.00,147.00,137.00,74.00,0.00,166.00,2.00
John Butler,150.00,279.00,181.00,,122.00,108.00,113.00,0.00,89.00,0.00
John Erwin,1310.00,510.00,140.00,133.00,,1029.00,92.00,0.00,776.00,4.00
Mary Merrill Anderson,1029.00,1011.00,126.00,73.00,1048.00,,405.00,0.00,614.00,3.00
Nancy Bernard,794.00,431.00,110.00,97.00,102.00,313.00,,0.00,123.00,4.00
Phil Willkie,0.00,0.00,0.00,0.00,0.00,0.00,1.00,,0.00,0.00
Tom Nordyke,723.00,728.00,178.00,69.00,1384.00,644.00,82.00,0.00,,2.00
writeIns,19.00,22.00,19.00,2.00,5.00,7.00,0.00,0.00,4.00,
exhaust,2065.00,3761.00,1570.00,448.00,1104.00,1484.00,735.00,0.00,947.00,167.00
