,AMY FARAH WEISS,ANGELA ALIOTO,ELLEN LEE ZHOU,JANE KIM,LONDON BREED,MARK LENO,MICHELLE BRAVO,RICHIE GREENBERG,writeIns
first_choice,1675.00,17552.00,9576.00,60738.00,92121.00,61416.00,900.00,7051.00,3.00
AMY FARAH WEISS,,609.00,257.00,1778.00,1781.00,1014.00,60.00,262.00,0.00
ANGELA ALIOTO,175.00,,1712.00,2901.00,15450.00,5683.00,185.00,1594.00,0.00
ELLEN LEE ZHOU,107.00,953.00,,1475.00,3223.00,938.00,111.00,673.00,0.00
JANE KIM,573.00,2173.00,1232.00,,20257.00,30861.00,91.00,374.00,0.00
LONDON BREED,187.00,4712.00,2404.00,10341.00,,15705.00,119.00,1091.00,3.00
MARK LENO,325.00,3629.00,1048.00,40586.00,27632.00,,117.00,879.00,0.00
MICHELLE BRAVO,88.00,515.00,197.00,284.00,1076.00,363.00,,230.00,0.00
RICHIE GREENBERG,91.00,1449.00,1036.00,311.00,2244.00,1141.00,77.00,,0.00
writeIns,0.00,0.00,0.00,0.00,5.00,0.00,0.00,1.00,
exhaust,129.00,3512.00,1690.00,3062.00,20453.00,5711.00,140.00,1947.00,0.00
