,DEAN PRESTON,NOMVULA O'MEARA,RYAN LAM,VALLIE BROWN,writeIns
first_choice,47.48,1.17,4.01,47.34,0.00
DEAN PRESTON,,25.18,29.16,33.53,0.00
NOMVULA O'MEARA,8.05,,16.53,6.09,0.00
RYAN LAM,13.36,30.58,,9.88,0.00
VALLIE BROWN,30.91,18.35,23.05,,0.00
writeIns,0.00,0.00,0.00,0.00,
exhaust,47.68,25.90,31.26,50.51,0.00
