,CORINA N. LOPEZ,PAULINE RUSSO CUTTER,writeIns
first_choice,9291.00,10784.00,217.00
CORINA N. LOPEZ,,6213.00,35.00
PAULINE RUSSO CUTTER,4979.00,,26.00
writeIns,173.00,183.00,
exhaust,4139.00,4388.00,156.00
