,ANTHONY JENKINS,CRISTY WELSH,DAVID LAURET,G. TYCE FLAKE,HECTOR RAFAEL HERNANDEZ,KEITH KUDER,TAY GUDMUNDSON
first_choice,8.55,31.80,14.15,25.09,8.09,9.10,3.22
ANTHONY JENKINS,,22.01,6.67,12.98,16.67,8.33,24.24
CRISTY WELSH,47.25,,30.67,36.64,32.14,25.00,42.42
DAVID LAURET,2.20,18.24,,36.26,14.29,22.62,6.06
G. TYCE FLAKE,35.16,36.79,32.67,,10.71,28.57,15.15
HECTOR RAFAEL HERNANDEZ,2.20,7.86,4.00,4.20,,8.33,6.06
KEITH KUDER,4.40,5.97,20.67,7.25,19.05,,6.06
TAY GUDMUNDSON,8.79,9.12,5.33,2.67,7.14,7.14,
