,LAURIE CAPITELLI,SOPHIE HAHN,writeIns
first_choice,54.27,45.38,0.35
LAURIE CAPITELLI,,97.29,37.50
SOPHIE HAHN,97.10,,62.50
writeIns,2.90,2.71,
