,AMY LEMLEY,CRAIG BRANDT,DAN KALB,DONALD MACLEAY,GORDON ''DON'' LINK,LEN RAPHAEL,RICHARD RAYA,writeIns
first_choice,25.31,4.84,28.82,6.48,7.51,6.65,20.02,0.37
AMY LEMLEY,,21.76,45.85,12.16,21.92,18.50,43.89,40.00
CRAIG BRANDT,8.30,,4.34,42.05,16.89,16.35,5.26,0.00
DAN KALB,44.57,12.18,,22.68,17.63,18.56,29.43,0.00
DONALD MACLEAY,4.06,6.48,7.39,,7.73,9.28,4.00,40.00
GORDON ''DON'' LINK,8.33,19.86,8.01,6.85,,13.95,8.86,0.00
LEN RAPHAEL,7.49,22.28,6.96,5.81,10.82,,8.34,20.00
RICHARD RAYA,26.86,17.27,26.94,10.02,24.38,22.54,,0.00
writeIns,0.40,0.17,0.51,0.43,0.63,0.82,0.23,
