,DEBORAH COX,EVA ARCE,KENNETH PON
first_choice,65.15,15.90,18.95
DEBORAH COX,,40.90,42.54
EVA ARCE,35.55,,29.99
KENNETH PON,32.87,33.79,
exhaust,31.58,25.31,27.46
