,Jan Shabro,Julie Anderson,Will Baker,writeIns
first_choice,41.26,49.92,8.45,0.38
Jan Shabro,,49.45,22.14,6.06
Julie Anderson,54.61,,48.81,11.25
Will Baker,11.44,19.65,,5.54
writeIns,0.65,0.53,0.79,
exhaust,33.30,30.37,28.27,77.16
