,"Barbara A. ""Barb"" Johnson",Dana Hansen,Phillipe M. Cunningham,Stephanie Gasca,writeIns
first_choice,2258.00,220.00,2140.00,634.00,11.00
"Barbara A. ""Barb"" Johnson",,35.00,528.00,114.00,1.00
Dana Hansen,138.00,,105.00,54.00,1.00
Phillipe M. Cunningham,670.00,40.00,,360.00,3.00
Stephanie Gasca,479.00,45.00,1074.00,,0.00
writeIns,15.00,6.00,11.00,2.00,
exhaust,956.00,94.00,422.00,104.00,6.00
