,BENJAMIN LANG,JUMOKE HINTON HODGE,KHARYSHI ''MS. K'' WIGINTON,LUCKY NARAIN,MISTY CROSS
first_choice,4391.00,8905.00,7400.00,1616.00,39.00
BENJAMIN LANG,,2487.00,3081.00,584.00,2.00
JUMOKE HINTON HODGE,1203.00,,2134.00,317.00,6.00
KHARYSHI ''MS. K'' WIGINTON,1667.00,2906.00,,282.00,7.00
LUCKY NARAIN,520.00,566.00,280.00,,0.00
MISTY CROSS,0.00,2.00,9.00,0.00,
exhaust,1001.00,2944.00,1896.00,433.00,24.00
