,"Fulford, Jonathan S.","Golden, Jared F.","Olson, Craig R.","St. Clair, Lucas R."
first_choice,2489.00,20987.00,3993.00,17742.00
"Fulford, Jonathan S.",,1798.00,458.00,1300.00
"Golden, Jared F.",853.00,,1270.00,7904.00
"Olson, Craig R.",529.00,4182.00,,3827.00
"St. Clair, Lucas R.",467.00,9263.00,1306.00,
exhaust,640.00,5744.00,959.00,4711.00
