,BILLY BOB WHITMER,JULIAN P. LAGOS,SEAN R. ELSBERND,writeIns
first_choice,9.61,18.78,70.93,0.68
BILLY BOB WHITMER,,62.83,26.32,13.24
JULIAN P. LAGOS,73.50,,72.94,54.41
SEAN R. ELSBERND,26.20,36.95,,32.35
writeIns,0.29,0.23,0.74,
