,David Regan,Elizabeth Glidden,Gregory McDonald,Jeanine Estime,Michael J. Cavlan,writeIns
first_choice,5.62,74.00,3.71,15.18,1.39,0.10
David Regan,,2.95,23.86,1.99,9.09,0.00
Elizabeth Glidden,23.33,,35.23,71.96,39.39,0.00
Gregory McDonald,62.22,14.34,,10.42,3.03,0.00
Jeanine Estime,6.67,75.33,29.55,,48.48,0.00
Michael J. Cavlan,6.67,6.72,11.36,15.63,,0.00
writeIns,1.11,0.66,0.00,0.00,0.00,
