,DESLEY BROOKS,JOSE DORADO,NANCY SIDEBOTHAM,writeIns
first_choice,64.15,21.43,13.76,0.66
DESLEY BROOKS,,36.72,37.91,37.14
JOSE DORADO,38.69,,60.88,28.57
NANCY SIDEBOTHAM,59.63,61.79,,34.29
writeIns,1.67,1.49,1.21,
